Амплитуда первого луча,Амплитуда второго луча,Временной сдвиг,Доплеровский сдвиг,Доплеровское рассеивание,Отношение сигнал/шум
1,1,0.5,0,0.1,-10
1,1,0.5,0,0.1,-5
1,1,0.5,0,0.1,0
1,1,0.5,0,0.1,5
1,1,0.5,0,0.1,10
1,1,0.5,0,0.1,15
1,1,0.5,0,0.1,20
1,1,0.5,0,0.1,25
1,1,0.5,0,0.1,30
1,1,0.5,0,0.1,35
